course_title,num_subscribers,level,category,language,price,content_duration,add_certificate,price_Certificate,is_paid,plataforma
How to Learn Online,124980,Beginner,Education & Teacher Training,English,0,336,Si,49,No,edX
Programming for Everybody (Getting Started with Python),293864,Beginner,Computer Science,English,0,1176,Si,49,No,edX
CS50's Introduction to Computer Science,2442271,Beginner,Computer Science,English,0,2016,Si,90,No,edX
The Analytics Edge,129555,Intermediate,Data Analysis & Statistics,English,0,2184,Si,199,No,edX
Marketing Analytics: Marketing Measurement Strategy,81140,Beginner,Computer Science,English,0,672,Si,249,No,edX
Introduction to Project Management,301793,Beginner,Business & Management,English,0,1008,Si,199,No,edX
Leading High-Performing Teams,32847,Intermediate,Communication,English,0,1680,Si,5,No,edX
The Foundations of Happiness at Work,67073,Beginner,Business & Management,English,0,672,Si,199,No,edX
"Managing Study, Stress and Mental Health at University",23061,Beginner,Health & Safety,English,0,336,Si,49,No,edX
Six Sigma: Define and Measure,92411,Beginner,Business & Management,English,0,1344,Si,99,No,edX
Fat Chance: Probability from the Ground Up,66835,Beginner,Math,English,0,1176,Si,49,No,edX
Chasing your Dream: How to End Procrastination and Get a Job You Love,44711,Beginner,Communication,English,0,840,Si,49,No,edX
Bitcoin and Cryptocurrencies,83398,Beginner,Computer Science,English,0,1008,Si,99,No,edX
Ethics in Action,6366,Intermediate,Ethics,English,0,1680,Si,49,No,edX
Introduction to FinTech,72767,Beginner,Economics & Finance,English,0,1008,Si,199,No,edX
Data Science: R Basics,528782,Beginner,Data Analysis & Statistics,English,0,1344,Si,49,No,edX
Python Basics for Data Science,228809,Beginner,Data Analysis & Statistics,English,0,840,Si,39,No,edX
The Science of Beer,39085,Beginner,Food & Nutrition,English,0,1008,Si,49,No,edX
Strategic Social Media Marketing,103640,Expert,Business & Management,English,0,1008,Si,399,No,edX
CS50's Introduction to Artificial Intelligence with Python,258006,Beginner,Computer Science,English,0,1176,Si,199,No,edX
CS50's Introduction to Game Development,346748,Intermediate,Computer Science,English,0,2016,Si,149,No,edX
Rhetoric: The Art of Persuasive Writing and Public Speaking,320225,Beginner,Humanities,English,0,1344,Si,99,No,edX
CS50's Web Programming with Python and JavaScript,698950,Intermediate,Computer Science,English,0,2016,Si,90,No,edX
Contract Law: From Trust to Promise to Contract,414181,Intermediate,Business & Management,English,0,1344,Si,125,No,edX
"Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron",380167,Beginner,Biology & Life Sciences,English,0,840,Si,99,No,edX
Justice,392588,Beginner,Humanities,English,0,2016,Si,99,No,edX
Data Science: Machine Learning,276209,Beginner,Data Analysis & Statistics,English,0,1344,Si,49,No,edX
Child Protection: Children's Rights in Theory and Practice,212453,Beginner,Social Sciences,English,0,2688,Si,99,No,edX
IELTS Academic Test Preparation,1103777,Beginner,Communication,English,0,1344,Si,99,No,edX
The Architectural Imagination,406181,Beginner,Architecture,English,0,1680,Si,99,No,edX
TOEFL® Test Preparation: The Insider’s Guide,1022489,Beginner,Communication,English,0,1008,Si,49,No,edX
Principles of Biochemistry,257600,Intermediate,Medicine,English,0,2520,Si,199,No,edX
Using Python for Research,262183,Intermediate,Computer Science,English,0,2016,Si,99,No,edX
Hinduism Through Its Scriptures,140782,Beginner,Humanities,English,0,672,Si,99,No,edX
Basic Spanish 1: Getting Started,400169,Beginner,Communication,English,0,1176,Si,40,No,edX
The Health Effects of Climate Change,110024,Beginner,Environmental Studies,English,0,1176,Si,99,No,edX
Inglés básico: conversacional y networking,79671,Beginner,Business & Management,Spanish,0,672,Si,49,No,edX
Statistics and R,314586,Intermediate,Data Analysis & Statistics,English,0,672,Si,249,No,edX
Science & Cooking: From Haute Cuisine to Soft Matter Science (chemistry),145011,Beginner,Chemistry,English,0,2688,Si,199,No,edX
Pyramids of Giza: Ancient Egyptian Art and Archaeology,123870,Beginner,Art & Culture,English,0,1344,Si,99,No,edX
"PredictionX: Omens, Oracles & Prophecies",91566,Beginner,Social Sciences,English,0,168,Si,25,No,edX
Excel: Fundamentos y herramientas,284279,Beginner,Computer Science,Spanish,0,1344,Si,50,No,edX
Lessons from Ebola: Preventing the Next Pandemic,91983,Beginner,Social Sciences,English,0,672,Si,49,No,edX
Improving Global Health: Focusing on Quality and Safety,127353,Intermediate,Social Sciences,English,0,1680,Si,99,No,edX
CS50 for Lawyers,87336,Beginner,Computer Science,English,0,1680,Si,99,No,edX
Data Science: Visualization,171258,Beginner,Data Analysis & Statistics,English,0,1344,Si,49,No,edX
Christianity Through Its Scriptures,125051,Beginner,Humanities,English,0,672,Si,99,No,edX
The Science of Happiness,475614,Beginner,Social Sciences,English,0,1848,Si,169,No,edX
Leaders of Learning,231131,Beginner,Communication,English,0,1680,Si,99,No,edX
Exercising Leadership: Foundational Principles,57814,Beginner,Business & Management,English,0,672,Si,99,No,edX
Data Science: Probability,135859,Beginner,Data Analysis & Statistics,English,0,1344,Si,49,No,edX
Introduction to Data Wise: A Collaborative Process to Improve Learning & Teaching,117410,Intermediate,Education & Teacher Training,English,0,1680,Si,70,No,edX
"Prescription Drug Regulation, Cost, and Access: Current Controversies in Context",80082,Beginner,Medicine,English,0,1344,Si,99,No,edX
Introduction to Family Engagement in Education,105146,Beginner,Education & Teacher Training,English,0,1008,Si,70,No,edX
Italian Language and Culture: Beginner (2019-2020),182462,Beginner,Language,Italian,0,2016,Si,49,No,edX
Steps in Japanese for Beginners1 Part1,53630,Beginner,Language,English,0,840,Si,49,No,edX
How to Write an Essay,306787,Beginner,Humanities,English,0,840,Si,49,No,edX
Energy Within Environmental Constraints,95324,Beginner,Environmental Studies,English,0,1680,Si,99,No,edX
Introduction to Probability,97291,Intermediate,Data Analysis & Statistics,English,0,1680,Si,99,No,edX
AnatomyX: Musculoskeletal Cases,102075,Intermediate,Medicine,English,0,1176,Si,99,No,edX
Data Science: Inference and Modeling,88256,Beginner,Data Analysis & Statistics,English,0,1344,Si,49,No,edX
Strengthening Community Health Worker Programs,58626,Beginner,Health & Safety,English,0,1008,Si,79,No,edX
Buddhism Through Its Scriptures,182295,Beginner,Humanities,English,0,672,Si,99,No,edX
Introduction to Linux,642088,Beginner,Computer Science,English,0,2352,Si,199,No,edX
"Bioethics: The Law, Medicine, and Ethics of Reproductive Technologies and Genetics",81221,Beginner,Medicine,English,0,1680,Si,99,No,edX
Shakespeare's Life and Work,48938,Beginner,Humanities,English,0,672,Si,49,No,edX
Marketing Digital: Content & Community Manager,112623,Beginner,Communication,Spanish,0,840,Si,49,No,edX
Accounting and Finance,88243,Intermediate,Business & Management,English,0,1848,Si,150,No,edX
Computing in Python I: Fundamentals and Procedural Programming,141966,Beginner,Computer Science,English,0,840,Si,99,No,edX
"Nutrition, Exercise and Sports",51679,Intermediate,Food & Nutrition,English,0,1008,Si,49,No,edX
Becoming an Entrepreneur,104760,Beginner,Business & Management,English,0,1008,Si,69,No,edX
"Religion, Conflict and Peace",74060,Beginner,Humanities,English,0,1344,Si,49,No,edX
"Tangible Things: Discovering History Through Artworks, Artifacts, Scientific Specimens, and the Stuff Around You",61139,Beginner,Humanities,English,0,1680,Si,49,No,edX
Academic and Business Writing,322701,Beginner,Communication,English,0,1008,Si,49,No,edX
Data Science: Capstone,62803,Beginner,Data Analysis & Statistics,English,0,336,Si,99,No,edX
Basics of Computing and Programming,37045,Beginner,Computer Science,English,0,1512,Si,200,No,edX
"Fundamentals of Neuroscience, Part 2: Neurons and Networks",84874,Beginner,Biology & Life Sciences,English,0,1008,Si,99,No,edX
Successful Negotiation: Essential Strategies and Skills,31369,Beginner,Business & Management,English,0,1176,Si,49,No,edX
Data Science: Linear Regression,75310,Beginner,Data Analysis & Statistics,English,0,1344,Si,49,No,edX
HTML5 and CSS Fundamentals,335895,Beginner,Computer Science,English,0,1008,Si,199,No,edX
Data Science: Productivity Tools,66683,Beginner,Data Analysis & Statistics,English,0,1344,Si,49,No,edX
