Id,course_title,is_paid,price,num_subscribers,level,content_duration,rating,language,category,anio_publicacion,ingreso_por_curso,plataforma
1070968,Ultimate Investment Banking Course,Si,200,2147,All,1.5,3.6,English,Finance & Accounting,2017,429400,Udemy
1113822,Complete GST Course & Certification - Grow Your CA Practice,Si,75,2792,All,39.0,4.4,English,Finance & Accounting,2017,209400,Udemy
1006314,Financial Modeling for Business Analysts and Consultants,Si,45,2174,Intermediate,2.5,4.4,English,Finance & Accounting,2016,97830,Udemy
1210588,Beginner to Pro - Financial Analysis in Excel 2017,Si,95,2451,All,3.0,4.2,English,Finance & Accounting,2017,232845,Udemy
1011058,How To Maximize Your Profits Trading Options,Si,200,1276,Intermediate,2.0,4.7,English,Finance & Accounting,2016,255200,Udemy
739964,Investing And Trading For Beginners: Mastering Price Charts,Si,65,1540,Beginner,1.0,4.6,English,Finance & Accounting,2016,100100,Udemy
403100,"Trading Stock Chart Patterns For Immediate, Explosive Gains",Si,95,2917,All,2.5,4.2,English,Finance & Accounting,2015,277115,Udemy
1167710,The Only Investment Strategy You Need For Your Retirement,Si,200,827,All,1.0,3.9,English,Finance & Accounting,2017,165400,Udemy
592338,Forex Trading Secrets of the Pros With Amazon's AWS,Si,200,4284,All,5.0,3.8,English,Finance & Accounting,2015,856800,Udemy
975046,Trading Options With Money Flow,Si,200,1380,All,1.0,4.3,English,Finance & Accounting,2016,276000,Udemy
742602,Financial Management Risk and Return For Securities,Si,30,3607,All,1.5,3.4,English,Finance & Accounting,2016,108210,Udemy
794151,Forex Trading Course: Work Smarter Not Harder Proven Results,Si,195,4061,All,2.0,4.3,English,Finance & Accounting,2016,791895,Udemy
504036,Short Selling: Learn To Sell Stocks Before The Fall,Si,75,2276,Intermediate,1.5,3.4,English,Finance & Accounting,2015,170700,Udemy
564966,The Complete Chart Pattern Trading Course: A Proven Approach,Si,200,2666,All,4.0,3.8,English,Finance & Accounting,2015,533200,Udemy
798740,Forex Traders - Create Your First Trading Robot. No Coding!,Si,200,2295,All,4.0,4.2,English,Finance & Accounting,2016,459000,Udemy
1020760,Introduction to Accounting : Mastering Financial Statements,Si,50,1916,Beginner,1.0,4.4,English,Finance & Accounting,2016,95800,Udemy
383414,Beginner to Pro in PowerPoint: Complete PowerPoint Training,Si,150,5786,All,5.0,4.5,English,Office Productivity,2015,867900,Udemy
353044,Investing 101: The Complete Online Investing Course,Si,200,5334,All,4.5,3.8,English,Finance & Accounting,2014,1066800,Udemy
447362,Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,Si,175,4005,Intermediate,2.0,4.2,English,Finance & Accounting,2015,700875,Udemy
1266306,Forex Trading: Your Complete Guide to Get Started Like a Pro,Si,140,1026,Beginner,3.0,4.6,English,Finance & Accounting,2017,143640,Udemy
948974,THE Forex Robot: Incredible ROI (Robot Included),Si,200,1843,All,1.5,3.4,English,Finance & Accounting,2016,368600,Udemy
380970,The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,Si,45,8797,All,6.5,4.5,English,Finance & Accounting,2015,395865,Udemy
1217778,Mastering High Probability Iron Condor Options Trading,Si,200,1030,All,2.0,4.2,English,Finance & Accounting,2017,206000,Udemy
1246208,The Complete Short Course on Ethereum,Si,200,1041,All,1.5,4.4,English,Finance & Accounting,2017,208200,Udemy
434774,Options Trading Stocks: Proven Toolbox For Financial Success,Si,195,7884,Intermediate,10.0,4.2,English,Finance & Accounting,2015,1537380,Udemy
308690,Forex Trading A-Z™ - With LIVE Examples of Forex Trading,Si,195,16900,Beginner,5.5,4.5,English,Finance & Accounting,2014,3295500,Udemy
888716,"Introduction to Finance, Accounting, Modeling and Valuation",Si,200,11441,All,4.5,4.5,English,Finance & Accounting,2016,2288200,Udemy
321410,Beginner to Pro in Excel: Financial Modeling and Valuation,Si,195,22257,All,7.5,4.6,English,Finance & Accounting,2014,4340115,Udemy
965832,The Complete Investment Banking Course 2017,Si,195,8575,All,5.5,4.6,English,Finance & Accounting,2016,1672125,Udemy
648826,The Complete Financial Analyst Course 2017,Si,195,24481,All,10.0,4.6,English,Finance & Accounting,2016,4773795,Udemy
1035472,Python for Finance: Investment Fundamentals & Data Analytics,Si,195,3811,All,6.5,4.6,English,Finance & Accounting,2017,743145,Udemy
1154754,Financial Modeling for Startups & Small Businesses,Si,195,4991,Beginner,11.5,4.4,English,Finance & Accounting,2017,973245,Udemy
627540,Options Trading - How to Win with Weekly Options,Si,115,7489,Intermediate,1.0,4.1,English,Finance & Accounting,2015,861235,Udemy
640100,Accounting & Financial Statement Analysis: Complete Training,Si,150,10042,All,3.0,4.6,English,Finance & Accounting,2015,1506300,Udemy
260470,Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,Si,200,10603,All,5.5,4.7,English,Finance & Accounting,2014,2120600,Udemy
1214702,Three Steps Trading - Live Trading - Real Account,Si,190,1197,All,5.0,4.8,English,Finance & Accounting,2017,227430,Udemy
848664,Option Trading for Rookies:  Understand Options Completely,Si,150,2893,All,2.0,4.7,English,Finance & Accounting,2016,433950,Udemy
1142570,How I Learned Stock Trading (and How You Can Too),Si,200,1580,Expert,2.0,3.9,English,Finance & Accounting,2017,316000,Udemy
325834,Learn to Trade for Profit: Find and Trade Winning Stocks,Si,95,10605,All,3.0,4.8,English,Finance & Accounting,2014,1007475,Udemy
411168,Trading Inside Bars - Master 1 Easy Pattern To Be Successful,Si,125,2996,Intermediate,2.0,4.3,English,Finance & Accounting,2015,374500,Udemy
885974,Four Fundamentals of Financial Planning,Si,30,6219,All,1.0,3.8,English,Finance & Accounting,2017,186570,Udemy
1151092,Options Trading - Calendar Spread Course for Every Trader,Si,200,1113,All,1.5,4.0,English,Finance & Accounting,2017,222600,Udemy
153210,Learn Accounting. Understand Business.,Si,200,5572,Beginner,5.5,4.2,English,Finance & Accounting,2014,1114400,Udemy
834836,How to Consistently Win Trading Stocks in 30 Days or Less,Si,145,1433,Intermediate,1.0,4.5,English,Finance & Accounting,2016,207785,Udemy
1239068,How to Buy Cheap Options - Options Trading Pricing Model,Si,200,658,All,1.0,4.4,English,Finance & Accounting,2017,131600,Udemy
985922,Excel Crash Course: Master Excel for Financial Analysis,Si,105,8121,All,3.5,4.6,English,Finance & Accounting,2016,852705,Udemy
765562,"Comprehensive Guide to Financial Markets, Investing &Trading",Si,60,4187,Beginner,9.0,4.4,English,Finance & Accounting,2016,251220,Udemy
165964,Stock Trading Ninja: Complete System For Trading Success,Si,155,9445,All,4.5,4.1,English,Finance & Accounting,2014,1463975,Udemy
855172,Hedge and Mutual Fund Careers: The Complete Guide,Si,200,3255,All,8.5,4.5,English,Finance & Accounting,2016,651000,Udemy
