course_id,Año,Cantidad,course_title
aboriginal-education,2017,15,Aboriginal Worldviews and Education
aboriginal-education,2018,10,Aboriginal Worldviews and Education
aboriginal-education,2019,13,Aboriginal Worldviews and Education
aboriginal-education,2020,29,Aboriginal Worldviews and Education
access-control-sscp,2018,3,Access Controls
access-control-sscp,2019,23,Access Controls
access-control-sscp,2020,19,Access Controls
accounting-analytics,2016,141,Accounting Analytics
accounting-analytics,2017,84,Accounting Analytics
accounting-analytics,2018,56,Accounting Analytics
accounting-analytics,2019,69,Accounting Analytics
accounting-analytics,2020,118,Accounting Analytics
accounting-data-analytics-python,2020,8,Accounting Data Analytics with Python
actualizacion-manejo-diabetes-tipo-2,2019,64,Actualización en el manejo del paciente con diabetes mellitus tipo 2
actualizacion-manejo-diabetes-tipo-2,2020,189,Actualización en el manejo del paciente con diabetes mellitus tipo 2
addiction-and-the-brain,2015,109,The Addicted Brain
addiction-and-the-brain,2016,84,The Addicted Brain
addiction-and-the-brain,2017,64,The Addicted Brain
addiction-and-the-brain,2018,33,The Addicted Brain
addiction-and-the-brain,2019,38,The Addicted Brain
addiction-and-the-brain,2020,110,The Addicted Brain
addiction-treatment,2020,133,Addiction Treatment: Clinical Skills for Healthcare Providers
advanced-valuation-and-strategy,2018,35,"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital"
advanced-valuation-and-strategy,2019,29,"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital"
advanced-valuation-and-strategy,2020,123,"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital"
agile-atlassian-jira,2018,46,Agile with Atlassian Jira
agile-atlassian-jira,2019,236,Agile with Atlassian Jira
agile-atlassian-jira,2020,437,Agile with Atlassian Jira
ai-for-everyone,2019,2274,AI For Everyone
ai-for-everyone,2020,5112,AI For Everyone
ai-for-medical-diagnosis,2020,257,AI for Medical Diagnosis
ai-for-medical-prognosis,2020,87,AI for Medical Prognosis
algorithmic-toolbox,2016,248,Algorithmic Toolbox
algorithmic-toolbox,2017,279,Algorithmic Toolbox
algorithmic-toolbox,2018,249,Algorithmic Toolbox
algorithmic-toolbox,2019,316,Algorithmic Toolbox
algorithmic-toolbox,2020,820,Algorithmic Toolbox
american-law,2015,39,An Introduction to American Law
american-law,2016,114,An Introduction to American Law
american-law,2017,142,An Introduction to American Law
american-law,2018,75,An Introduction to American Law
american-law,2019,93,An Introduction to American Law
american-law,2020,272,An Introduction to American Law
analytics-business-metrics,2015,144,Business Metrics for Data-Driven Companies
analytics-business-metrics,2016,301,Business Metrics for Data-Driven Companies
analytics-business-metrics,2017,298,Business Metrics for Data-Driven Companies
analytics-business-metrics,2018,186,Business Metrics for Data-Driven Companies
analytics-business-metrics,2019,156,Business Metrics for Data-Driven Companies
analytics-business-metrics,2020,379,Business Metrics for Data-Driven Companies
analytics-excel,2015,108,Mastering Data Analysis in Excel
analytics-excel,2016,280,Mastering Data Analysis in Excel
analytics-excel,2017,128,Mastering Data Analysis in Excel
analytics-excel,2018,76,Mastering Data Analysis in Excel
analytics-excel,2019,71,Mastering Data Analysis in Excel
analytics-excel,2020,134,Mastering Data Analysis in Excel
anatomy403-1x,2019,51,Anatomy: Musculoskeletal and Integumentary Systems
anatomy403-1x,2020,200,Anatomy: Musculoskeletal and Integumentary Systems
animal-welfare,2015,13,Animal Behaviour and Welfare
animal-welfare,2016,92,Animal Behaviour and Welfare
animal-welfare,2017,96,Animal Behaviour and Welfare
animal-welfare,2018,58,Animal Behaviour and Welfare
animal-welfare,2019,91,Animal Behaviour and Welfare
animal-welfare,2020,450,Animal Behaviour and Welfare
antibiotic-stewardship,2018,6,Antibiotic Stewardship
antibiotic-stewardship,2019,21,Antibiotic Stewardship
antibiotic-stewardship,2020,10,Antibiotic Stewardship
anticorrupcion-introduccion,2019,50,Anticorrupción: Introducción a conceptos y perspectiva práctica
anticorrupcion-introduccion,2020,335,Anticorrupción: Introducción a conceptos y perspectiva práctica
applied-data-science-capstone,2018,27,Applied Data Science Capstone
applied-data-science-capstone,2019,214,Applied Data Science Capstone
applied-data-science-capstone,2020,340,Applied Data Science Capstone
aprendiendo-a-aprender,2016,147,Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn)
aprendiendo-a-aprender,2017,484,Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn)
aprendiendo-a-aprender,2018,327,Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn)
aprendiendo-a-aprender,2019,379,Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn)
aprendiendo-a-aprender,2020,1753,Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn)
aprendiendo-programar-python,2017,49,Introducción a la programación en Python I: Aprendiendo a programar con Python
aprendiendo-programar-python,2018,153,Introducción a la programación en Python I: Aprendiendo a programar con Python
aprendiendo-programar-python,2019,215,Introducción a la programación en Python I: Aprendiendo a programar con Python
aprendiendo-programar-python,2020,553,Introducción a la programación en Python I: Aprendiendo a programar con Python
arbitration-international-disputes,2018,24,International Law in Action: the Arbitration of International Disputes
arbitration-international-disputes,2019,21,International Law in Action: the Arbitration of International Disputes
arbitration-international-disputes,2020,57,International Law in Action: the Arbitration of International Disputes
arts-heritage,2016,2,Arts and Heritage Management
arts-heritage,2017,42,Arts and Heritage Management
arts-heritage,2018,31,Arts and Heritage Management
arts-heritage,2019,21,Arts and Heritage Management
arts-heritage,2020,88,Arts and Heritage Management
astro,2015,48,Astronomy: Exploring Time and Space
astro,2016,66,Astronomy: Exploring Time and Space
astro,2017,109,Astronomy: Exploring Time and Space
astro,2018,65,Astronomy: Exploring Time and Space
astro,2019,81,Astronomy: Exploring Time and Space
astro,2020,421,Astronomy: Exploring Time and Space
attention-models-in-nlp,2020,21,Natural Language Processing with Attention Models
aulaconstructivista,2015,53,Hacia una práctica constructivista en el aula
aulaconstructivista,2016,55,Hacia una práctica constructivista en el aula
aulaconstructivista,2017,82,Hacia una práctica constructivista en el aula
aulaconstructivista,2018,42,Hacia una práctica constructivista en el aula
aulaconstructivista,2019,74,Hacia una práctica constructivista en el aula
aulaconstructivista,2020,263,Hacia una práctica constructivista en el aula
autism-spectrum-disorder,2015,3,Autism Spectrum Disorder
autism-spectrum-disorder,2016,70,Autism Spectrum Disorder
autism-spectrum-disorder,2017,68,Autism Spectrum Disorder
autism-spectrum-disorder,2018,38,Autism Spectrum Disorder
autism-spectrum-disorder,2019,62,Autism Spectrum Disorder
autism-spectrum-disorder,2020,241,Autism Spectrum Disorder
autodesk-autocad-design-drafting,2019,1,Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep
autodesk-autocad-design-drafting,2020,320,Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep
autodesk-revit-architectural-design,2020,107,Autodesk Certified Professional: Revit for Architectural Design Exam Prep
aws-fundamentals-addressing-security-risk,2019,26,AWS Fundamentals: Addressing Security Risk
aws-fundamentals-addressing-security-risk,2020,226,AWS Fundamentals: Addressing Security Risk
aws-fundamentals-going-cloud-native,2018,28,AWS Fundamentals: Going Cloud-Native
aws-fundamentals-going-cloud-native,2019,401,AWS Fundamentals: Going Cloud-Native
aws-fundamentals-going-cloud-native,2020,1375,AWS Fundamentals: Going Cloud-Native
aws-machine-learning,2019,64,Getting Started with AWS Machine Learning
aws-machine-learning,2020,1090,Getting Started with AWS Machine Learning
basic-statistics,2016,233,Basic Statistics
basic-statistics,2017,155,Basic Statistics
basic-statistics,2018,94,Basic Statistics
basic-statistics,2019,109,Basic Statistics
basic-statistics,2020,242,Basic Statistics
batch-data-pipelines-gcp,2020,129,Building Batch Data Pipelines on GCP
bayesian-statistics,2016,52,Bayesian Statistics: From Concept to Data Analysis
bayesian-statistics,2017,181,Bayesian Statistics: From Concept to Data Analysis
bayesian-statistics,2018,107,Bayesian Statistics: From Concept to Data Analysis
bayesian-statistics,2019,121,Bayesian Statistics: From Concept to Data Analysis
bayesian-statistics,2020,179,Bayesian Statistics: From Concept to Data Analysis
bcg-uva-darden-digital-transformation,2018,118,Digital Transformation
bcg-uva-darden-digital-transformation,2019,317,Digital Transformation
bcg-uva-darden-digital-transformation,2020,617,Digital Transformation
becoming-a-veterinarian,2015,34,EDIVET: Do you have what it takes to be a veterinarian?
becoming-a-veterinarian,2016,51,EDIVET: Do you have what it takes to be a veterinarian?
becoming-a-veterinarian,2017,59,EDIVET: Do you have what it takes to be a veterinarian?
becoming-a-veterinarian,2018,36,EDIVET: Do you have what it takes to be a veterinarian?
becoming-a-veterinarian,2019,47,EDIVET: Do you have what it takes to be a veterinarian?
becoming-a-veterinarian,2020,165,EDIVET: Do you have what it takes to be a veterinarian?
beyond-the-sustainable-development-goals-addressing-sustainability-and-development,2020,58,Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development
big-data-essentials,2017,8,"Big Data Essentials: HDFS, MapReduce and Spark RDD"
big-data-essentials,2018,56,"Big Data Essentials: HDFS, MapReduce and Spark RDD"
big-data-essentials,2019,45,"Big Data Essentials: HDFS, MapReduce and Spark RDD"
big-data-essentials,2020,17,"Big Data Essentials: HDFS, MapReduce and Spark RDD"
big-data-introduction,2016,220,Introduction to Big Data
big-data-introduction,2017,490,Introduction to Big Data
big-data-introduction,2018,370,Introduction to Big Data
big-data-introduction,2019,211,Introduction to Big Data
big-data-introduction,2020,727,Introduction to Big Data
big-history,2015,24,Big History: Connecting Knowledge
big-history,2016,126,Big History: Connecting Knowledge
big-history,2017,51,Big History: Connecting Knowledge
big-history,2018,24,Big History: Connecting Knowledge
big-history,2019,37,Big History: Connecting Knowledge
big-history,2020,112,Big History: Connecting Knowledge
biohacking-your-brains-health,2018,11,Biohacking Your Brain's Health
biohacking-your-brains-health,2019,50,Biohacking Your Brain's Health
biohacking-your-brains-health,2020,176,Biohacking Your Brain's Health
bioinformatics,2016,33,Biology Meets Programming: Bioinformatics for Beginners
bioinformatics,2017,71,Biology Meets Programming: Bioinformatics for Beginners
bioinformatics,2018,35,Biology Meets Programming: Bioinformatics for Beginners
bioinformatics,2019,53,Biology Meets Programming: Bioinformatics for Beginners
bioinformatics,2020,115,Biology Meets Programming: Bioinformatics for Beginners
blockchain-basics,2018,255,Blockchain Basics
blockchain-basics,2019,265,Blockchain Basics
blockchain-basics,2020,591,Blockchain Basics
bootstrap-4,2017,122,Front-End Web UI Frameworks and Tools: Bootstrap 4
bootstrap-4,2018,220,Front-End Web UI Frameworks and Tools: Bootstrap 4
bootstrap-4,2019,308,Front-End Web UI Frameworks and Tools: Bootstrap 4
bootstrap-4,2020,995,Front-End Web UI Frameworks and Tools: Bootstrap 4
brand,2018,56,"Brand Management: Aligning Business, Brand and Behaviour"
brand,2019,122,"Brand Management: Aligning Business, Brand and Behaviour"
brand,2020,913,"Brand Management: Aligning Business, Brand and Behaviour"
bugs-101,2019,74,Bugs 101: Insect-Human Interactions
bugs-101,2020,223,Bugs 101: Insect-Human Interactions
build-a-computer,2016,101,Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course)
build-a-computer,2017,162,Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course)
build-a-computer,2018,111,Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course)
build-a-computer,2019,131,Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course)
build-a-computer,2020,228,Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course)
building-modern-python-applications-on-aws,2020,1,Building Modern Python Applications on AWS
business,2016,160,English for Business and Entrepreneurship
business,2017,124,English for Business and Entrepreneurship
business,2018,114,English for Business and Entrepreneurship
business,2019,152,English for Business and Entrepreneurship
business,2020,546,English for Business and Entrepreneurship
business-english-intro,2016,70,Business English: Networking
business-english-intro,2017,68,Business English: Networking
business-english-intro,2018,66,Business English: Networking
business-english-intro,2019,85,Business English: Networking
business-english-intro,2020,284,Business English: Networking
business-model,2016,10,Business Model Innovation
business-model,2017,11,Business Model Innovation
business-model,2018,13,Business Model Innovation
business-model,2019,5,Business Model Innovation
business-model,2020,44,Business Model Innovation
business-transformation-google-cloud,2019,51,Business Transformation with Google Cloud
business-transformation-google-cloud,2020,130,Business Transformation with Google Cloud
c-for-everyone,2019,4,C for Everyone: Programming Fundamentals
c-for-everyone,2020,838,C for Everyone: Programming Fundamentals
c-plus-plus-white,2017,79,Основы разработки на C++: белый пояс
c-plus-plus-white,2018,67,Основы разработки на C++: белый пояс
c-plus-plus-white,2019,88,Основы разработки на C++: белый пояс
c-plus-plus-white,2020,110,Основы разработки на C++: белый пояс
camino-excelencia-gestion-proyectos,2016,17,Camino a la Excelencia en Gestión de Proyectos
camino-excelencia-gestion-proyectos,2017,155,Camino a la Excelencia en Gestión de Proyectos
camino-excelencia-gestion-proyectos,2018,249,Camino a la Excelencia en Gestión de Proyectos
camino-excelencia-gestion-proyectos,2019,389,Camino a la Excelencia en Gestión de Proyectos
camino-excelencia-gestion-proyectos,2020,930,Camino a la Excelencia en Gestión de Proyectos
cancer,2016,107,Introduction to the Biology of Cancer
cancer,2017,146,Introduction to the Biology of Cancer
cancer,2018,79,Introduction to the Biology of Cancer
cancer,2019,145,Introduction to the Biology of Cancer
cancer,2020,515,Introduction to the Biology of Cancer
careerdevelopment,2016,70,English for Career Development
careerdevelopment,2017,254,English for Career Development
careerdevelopment,2018,238,English for Career Development
careerdevelopment,2019,336,English for Career Development
careerdevelopment,2020,2055,English for Career Development
cats-and-dogs,2017,91,The Truth About Cats and Dogs
cats-and-dogs,2018,55,The Truth About Cats and Dogs
cats-and-dogs,2019,56,The Truth About Cats and Dogs
cats-and-dogs,2020,224,The Truth About Cats and Dogs
challenging-forensic-science,2019,19,Challenging Forensic Science: How Science Should Speak to Court
challenging-forensic-science,2020,48,Challenging Forensic Science: How Science Should Speak to Court
change-management,2019,5,Leading transformations: Manage change
change-management,2020,50,Leading transformations: Manage change
chemicals-health,2016,5,Chemicals and Health
chemicals-health,2017,11,Chemicals and Health
chemicals-health,2018,4,Chemicals and Health
chemicals-health,2019,14,Chemicals and Health
chemicals-health,2020,162,Chemicals and Health
child-development,2017,1,Understanding child development: from synapse to society
child-development,2018,6,Understanding child development: from synapse to society
child-development,2019,11,Understanding child development: from synapse to society
child-development,2020,26,Understanding child development: from synapse to society
childnutrition,2015,560,Child Nutrition and Cooking
childnutrition,2016,459,Child Nutrition and Cooking
childnutrition,2017,268,Child Nutrition and Cooking
childnutrition,2018,148,Child Nutrition and Cooking
childnutrition,2019,205,Child Nutrition and Cooking
childnutrition,2020,478,Child Nutrition and Cooking
childrens-rights,2017,77,Children's Human Rights - An Interdisciplinary Introduction
childrens-rights,2018,41,Children's Human Rights - An Interdisciplinary Introduction
childrens-rights,2019,72,Children's Human Rights - An Interdisciplinary Introduction
childrens-rights,2020,146,Children's Human Rights - An Interdisciplinary Introduction
ciencia-computacao-python-conceitos,2016,6,Introdução à Ciência da Computação com Python Parte 1
ciencia-computacao-python-conceitos,2017,300,Introdução à Ciência da Computação com Python Parte 1
ciencia-computacao-python-conceitos,2018,173,Introdução à Ciência da Computação com Python Parte 1
ciencia-computacao-python-conceitos,2019,329,Introdução à Ciência da Computação com Python Parte 1
ciencia-computacao-python-conceitos,2020,611,Introdução à Ciência da Computação com Python Parte 1
classical-sociological-theory,2015,40,Classical Sociological Theory
classical-sociological-theory,2016,79,Classical Sociological Theory
classical-sociological-theory,2017,67,Classical Sociological Theory
classical-sociological-theory,2018,51,Classical Sociological Theory
classical-sociological-theory,2019,74,Classical Sociological Theory
classical-sociological-theory,2020,204,Classical Sociological Theory
classification-vector-spaces-in-nlp,2020,328,Natural Language Processing with Classification and Vector Spaces
clinical-data-management,2016,23,Data Management for Clinical Research
clinical-data-management,2017,56,Data Management for Clinical Research
clinical-data-management,2018,44,Data Management for Clinical Research
clinical-data-management,2019,45,Data Management for Clinical Research
clinical-data-management,2020,105,Data Management for Clinical Research
clinical-research,2015,5,Understanding Clinical Research: Behind the Statistics
clinical-research,2016,72,Understanding Clinical Research: Behind the Statistics
clinical-research,2017,81,Understanding Clinical Research: Behind the Statistics
clinical-research,2018,85,Understanding Clinical Research: Behind the Statistics
clinical-research,2019,102,Understanding Clinical Research: Behind the Statistics
clinical-research,2020,285,Understanding Clinical Research: Behind the Statistics
clinical-terminology,2016,3,Clinical Terminology for International and U.S. Students
clinical-terminology,2017,47,Clinical Terminology for International and U.S. Students
clinical-terminology,2018,35,Clinical Terminology for International and U.S. Students
clinical-terminology,2019,73,Clinical Terminology for International and U.S. Students
clinical-terminology,2020,243,Clinical Terminology for International and U.S. Students
clinical-trials,2016,59,Design and Interpretation of Clinical Trials
clinical-trials,2017,87,Design and Interpretation of Clinical Trials
clinical-trials,2018,57,Design and Interpretation of Clinical Trials
clinical-trials,2019,79,Design and Interpretation of Clinical Trials
clinical-trials,2020,189,Design and Interpretation of Clinical Trials
clinicalsimulations,2019,40,Essentials in Clinical Simulations Across the Health Professions
clinicalsimulations,2020,118,Essentials in Clinical Simulations Across the Health Professions
cloud-azure-intro,2020,63,Getting Started with Azure
cloud-infrastructure-design-process,2017,1,Reliable Google Cloud Infrastructure: Design and Process
cloud-infrastructure-design-process,2018,119,Reliable Google Cloud Infrastructure: Design and Process
cloud-infrastructure-design-process,2019,235,Reliable Google Cloud Infrastructure: Design and Process
cloud-infrastructure-design-process,2020,194,Reliable Google Cloud Infrastructure: Design and Process
communication-strategies-virtual-age,2018,3,Communication Strategies for a Virtual Age
communication-strategies-virtual-age,2019,9,Communication Strategies for a Virtual Age
communication-strategies-virtual-age,2020,846,Communication Strategies for a Virtual Age
community-organizing,2020,32,Community Organizing for Social Justice
company-future-management,2016,52,Managing the Company of the Future
company-future-management,2017,58,Managing the Company of the Future
company-future-management,2018,39,Managing the Company of the Future
company-future-management,2019,49,Managing the Company of the Future
company-future-management,2020,620,Managing the Company of the Future
competencias-digitales-ofimatica,2019,44,"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)"
competencias-digitales-ofimatica,2020,1066,"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)"
competencias-lab,2017,19,"Competencias Laborales: Perfiles, Evaluación y Capacitación."
competencias-lab,2018,20,"Competencias Laborales: Perfiles, Evaluación y Capacitación."
competencias-lab,2019,13,"Competencias Laborales: Perfiles, Evaluación y Capacitación."
competencias-lab,2020,35,"Competencias Laborales: Perfiles, Evaluación y Capacitación."
computational-neuroscience,2016,16,Computational Neuroscience
computational-neuroscience,2017,55,Computational Neuroscience
computational-neuroscience,2018,28,Computational Neuroscience
computational-neuroscience,2019,38,Computational Neuroscience
computational-neuroscience,2020,41,Computational Neuroscience
computational-thinking-problem-solving,2018,20,Computational Thinking for Problem Solving
computational-thinking-problem-solving,2019,124,Computational Thinking for Problem Solving
computational-thinking-problem-solving,2020,115,Computational Thinking for Problem Solving
computer-networking,2018,930,The Bits and Bytes of Computer Networking
computer-networking,2019,908,The Bits and Bytes of Computer Networking
computer-networking,2020,2975,The Bits and Bytes of Computer Networking
construction-project-management,2016,40,Construction Project Management
construction-project-management,2017,162,Construction Project Management
construction-project-management,2018,135,Construction Project Management
construction-project-management,2019,128,Construction Project Management
construction-project-management,2020,380,Construction Project Management
contabilidad,2016,17,Contabilidad para no contadores
contabilidad,2017,256,Contabilidad para no contadores
contabilidad,2018,226,Contabilidad para no contadores
contabilidad,2019,551,Contabilidad para no contadores
contabilidad,2020,1475,Contabilidad para no contadores
contact-tracing-for-covid-19,2020,118,Population Health During A Pandemic: Contact Tracing and Beyond
containerized-apps-on-aws,2020,44,Building Containerized Applications on AWS
contemporary-art,2019,1,What Is Contemporary Art?
contemporary-art,2020,291,What Is Contemporary Art?
content-marketing,2017,29,The Strategy of Content Marketing
content-marketing,2018,52,The Strategy of Content Marketing
content-marketing,2019,45,The Strategy of Content Marketing
content-marketing,2020,686,The Strategy of Content Marketing
contracts-1,2019,45,American Contract Law I
contracts-1,2020,57,American Contract Law I
contrats,2016,20,Rédaction de contrats
contrats,2017,28,Rédaction de contrats
contrats,2018,24,Rédaction de contrats
contrats,2019,33,Rédaction de contrats
contrats,2020,36,Rédaction de contrats
conversational-experiences-dialogflow,2018,1,Building Conversational Experiences with Dialogflow
conversational-experiences-dialogflow,2019,45,Building Conversational Experiences with Dialogflow
conversational-experiences-dialogflow,2020,183,Building Conversational Experiences with Dialogflow
convolutional-neural-networks,2017,241,Convolutional Neural Networks
convolutional-neural-networks,2018,431,Convolutional Neural Networks
convolutional-neural-networks,2019,295,Convolutional Neural Networks
convolutional-neural-networks,2020,326,Convolutional Neural Networks
convolutional-neural-networks-tensorflow,2019,303,Convolutional Neural Networks in TensorFlow
convolutional-neural-networks-tensorflow,2020,504,Convolutional Neural Networks in TensorFlow
corp-sustainability,2018,8,Corporate Sustainability. Understanding and Seizing the Strategic Opportunity
corp-sustainability,2019,18,Corporate Sustainability. Understanding and Seizing the Strategic Opportunity
corp-sustainability,2020,64,Corporate Sustainability. Understanding and Seizing the Strategic Opportunity
corporate-commercial-law-part1,2018,8,Corporate & Commercial Law I: Contracts & Employment Law
corporate-commercial-law-part1,2019,12,Corporate & Commercial Law I: Contracts & Employment Law
corporate-commercial-law-part1,2020,88,Corporate & Commercial Law I: Contracts & Employment Law
corporate-finance-essentials,2016,65,Corporate Finance Essentials
corporate-finance-essentials,2017,129,Corporate Finance Essentials
corporate-finance-essentials,2018,61,Corporate Finance Essentials
corporate-finance-essentials,2019,54,Corporate Finance Essentials
corporate-finance-essentials,2020,266,Corporate Finance Essentials
corporatestrategy,2017,1,Corporate Strategy
corporatestrategy,2018,27,Corporate Strategy
corporatestrategy,2019,24,Corporate Strategy
corporatestrategy,2020,92,Corporate Strategy
correccion-estilo-variaciones,2016,56,"Corrección, estilo y  variaciones de la lengua española"
correccion-estilo-variaciones,2017,71,"Corrección, estilo y  variaciones de la lengua española"
correccion-estilo-variaciones,2018,41,"Corrección, estilo y  variaciones de la lengua española"
correccion-estilo-variaciones,2019,59,"Corrección, estilo y  variaciones de la lengua española"
correccion-estilo-variaciones,2020,141,"Corrección, estilo y  variaciones de la lengua española"
countering-terror-violent-extremism,2020,25,New Approaches to Countering Terror: Countering Violent Extremism
