Id,course_title,rating,num_subscribers,level,language,category,plataforma
machine-learning,Machine Learning,4.7,290000.0,,,,Coursera
machine-learning,Machine Learning,4.7,32000000.0,,,,Coursera
indigenous-canada,Indigenous Canada,4.8,51000.0,All,,,Coursera
the-science-of-well-being,The Science of Well-Being,4.9,25000000.0,All,,,Coursera
technical-support-fundamentals,Technical Support Fundamentals,4.8,280000.0,Beginner,English,Support and Operations,Coursera
technical-support-fundamentals,Technical Support Fundamentals,4.8,280000.0,Beginner,English,Support and Operations,Coursera
google-cbrs-cpi-training,Become a CBRS Certified Professional Installer by Google,4.8,210000.0,,,,Coursera
financial-markets-global,Financial Markets,4.8,470000.0,Beginner,,,Coursera
introduction-psychology,Introduction to Psychology,4.9,270000.0,Beginner,,,Coursera
introduction-psychology,Introduction to Psychology,4.9,270000.0,All,,,Coursera
python,Programming for Everybody (Getting Started with Python),4.6,13000000.0,,English,Software Development,Coursera
computer-networking,The Bits and Bytes of Computer Networking,4.6,130000.0,Beginner,English,Networking,Coursera
computer-networking,The Bits and Bytes of Computer Networking,4.6,130000.0,Beginner,English,Networking,Coursera
ai-for-everyone,AI For Everyone,4.8,350000.0,,,,Coursera
python-crash-course,Crash Course on Python,4.7,81000.0,Beginner,English,Support and Operations,Coursera
psychological-first-aid,Psychological First Aid,4.8,190000.0,,,,Coursera
neural-networks-deep-learning,Neural Networks and Deep Learning,4.8,630000.0,,,,Coursera
what-is-datascience,What is Data Science?,4.6,260000.0,,,,Coursera
negotiation-skills,Successful Negotiation: Essential Strategies and Skills,4.8,750000.0,,English,Business Essentials,Coursera
uva-darden-project-management,Fundamentals of Project Planning and Management,4.8,120000.0,,,,Coursera
project-management,Project Launch,4.4,190000.0,,,,Coursera
brand,"Brand Management: Aligning Business, Brand and Behaviour",4.9,57000.0,Beginner,,,Coursera
sciwrite,Writing in the Sciences,4.9,140000.0,Beginner,,,Coursera
food-and-health,Stanford Introduction to Food and Health,4.7,370000.0,Beginner,,,Coursera
html-css-javascript-for-web-developers,"HTML, CSS, and Javascript for Web Developers",4.8,240000.0,,English,Mobile and Web Development,Coursera
excel-essentials,Excel Skills for Business: Essentials,4.9,200000.0,Beginner,English,Business Essentials,Coursera
excel-essentials,Excel Skills for Business: Essentials,4.9,200000.0,Beginner,English,Business Essentials,Coursera
everyday-excel-part-1,"Everyday Excel, Part 1",4.8,11000.0,,,,Coursera
wharton-contagious-viral-marketing,Viral Marketing and How to Craft Contagious Content,4.8,150000.0,,,,Coursera
python-data,Python Data Structures,4.8,420000.0,,,,Coursera
private-equity,Private Equity and Venture Capital,4.8,79000.0,All,,,Coursera
learn-korean,First Step Korean,4.9,400000.0,Beginner,,,Coursera
introduction-tensorflow,"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",4.7,150000.0,,,,Coursera
os-power-user,Operating Systems and You: Becoming a Power User,4.5,76000.0,,,,Coursera
open-source-tools-for-data-science,Tools for Data Science,4.0,120000.0,,,,Coursera
deep-neural-network,"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",4.8,270000.0,,,,Coursera
clinical-trials,Design and Interpretation of Clinical Trials,4.7,67000.0,,,,Coursera
mafash,Management of Fashion and Luxury Companies,4.7,120000.0,All,,,Coursera
pap,Primeros Auxilios Psicológicos (PAP),4.9,280000.0,All,,,Coursera
social-psychology,Social Psychology,4.8,220000.0,Beginner,,,Coursera
project-planning,Initiating and Planning Projects,4.7,180000.0,,,,Coursera
computational-thinking-problem-solving,Computational Thinking for Problem Solving,4.6,33000.0,,,,Coursera
agile-atlassian-jira,Agile with Atlassian Jira,4.7,40000.0,Beginner,,,Coursera
fundamentals-of-graphic-design,Fundamentals of Graphic Design,4.8,290000.0,Beginner,English,Music and Art,Coursera
user-experience-design,Introduction to User Experience Design,4.5,87000.0,Beginner,,,Coursera
wharton-marketing,Introduction to Marketing,4.7,220000.0,,,,Coursera
python-for-applied-data-science-ai,Python for Data Science and AI,4.3,170000.0,,,,Coursera
wharton-quantitative-modeling,Fundamentals of Quantitative Modeling,4.5,110000.0,,,,Coursera
linear-algebra-machine-learning,Mathematics for Machine Learning: Linear Algebra,4.6,140000.0,,,,Coursera
python-data-analysis,Introduction to Data Science in Python,4.2,390000.0,,,,Coursera
introduction-psych,Introduction to Psychology,4.9,270000.0,Beginner,,,Coursera
introduction-psych,Introduction to Psychology,4.9,270000.0,All,,,Coursera
careerdevelopment,English for Career Development,4.9,760000.0,,English,Learning English,Coursera
global-diplomacy,Global Diplomacy – Diplomacy in the Modern World,4.6,79000.0,All,,,Coursera
game-theory-1,Game Theory,,260000.0,Beginner,English,Economics,Coursera
game-theory-1,Game Theory,,260000.0,Beginner,English,Economics,Coursera
sql-for-data-science,SQL for Data Science,4.5,160000.0,Beginner,English,Data Analysis,Coursera
sql-for-data-science,SQL for Data Science,4.5,160000.0,Beginner,English,Data Analysis,Coursera
professional-emails-english,Write Professional Emails in English,4.8,270000.0,,,,Coursera
medical-neuroscience,Medical Neuroscience,4.9,170000.0,Expert,,,Coursera
system-administration-it-infrastructure-services,System Administration and IT Infrastructure Services,4.7,62000.0,,,,Coursera
womens-health-human-rights,International Women's Health and Human Rights,4.9,35000.0,Beginner,,,Coursera
childnutrition,Child Nutrition and Cooking,4.8,30000.0,Beginner,,,Coursera
neurobiology,Understanding the Brain: The Neurobiology of Everyday Life,4.9,130000.0,Beginner,,,Coursera
forensic-accounting,Forensic Accounting and Fraud Examination,4.7,42000.0,All,,,Coursera
clinical-terminology,Clinical Terminology for International and U.S. Students,4.8,32000.0,Beginner,,,Coursera
science-exercise,Science of Exercise,4.8,140000.0,,,,Coursera
uva-darden-digital-product-management,Digital Product Management: Modern Fundamentals,4.7,58000.0,,,,Coursera
datasciencemathskills,Data Science Math Skills,4.4,140000.0,,,,Coursera
machine-learning-projects,Structuring Machine Learning Projects,4.7,220000.0,,,,Coursera
american-law,An Introduction to American Law,4.8,23000.0,Beginner,,,Coursera
content-marketing,The Strategy of Content Marketing,4.5,100000.0,Intermediate,,,Coursera
introduction-cybersecurity-cyber-attacks,Introduction to Cybersecurity Tools & Cyber Attacks,4.3,30000.0,,,,Coursera
data-scientists-tools,The Data Scientist’s Toolbox,4.5,420000.0,,English,Data Analysis,Coursera
data-scientists-tools,The Data Scientist’s Toolbox,4.5,420000.0,,English,Data Analysis,Coursera
data-scientists-tools,The Data Scientist’s Toolbox,4.5,420000.0,,English,Data Analysis,Coursera
animal-welfare,Animal Behaviour and Welfare,4.8,71000.0,All,,,Coursera
convolutional-neural-networks-tensorflow,Convolutional Neural Networks in TensorFlow,4.5,46000.0,,,,Coursera
positive-psychology-visionary-science,Positive Psychology: Martin E. P. Seligman’s Visionary Science,4.9,50000.0,,,,Coursera
cancer,Introduction to the Biology of Cancer,4.8,110000.0,,,,Coursera
convolutional-neural-networks,Convolutional Neural Networks,3.9,240000.0,,,,Coursera
python-network-data,Using Python to Access Web Data,4.7,310000.0,,,,Coursera
physiology,Introductory Human Physiology,4.8,270000.0,All,,,Coursera
systematic-review,Introduction to Systematic Review and Meta-Analysis,4.8,67000.0,,,,Coursera
communication-strategies-virtual-age,Communication Strategies for a Virtual Age,4.8,43000.0,Beginner,English,Leadership and Management,Coursera
moral-politics,Moral Foundations of Politics,4.9,100000.0,All,,,Coursera
etudier-en-france,Étudier en France: French Intermediate course B1-B2,4.8,190000.0,Intermediate,,,Coursera
finance-for-non-finance,Finance for Non-Finance Professionals,4.8,69000.0,,,,Coursera
site-reliability-engineering-slos,Site Reliability Engineering: Measuring and Managing Reliability,4.2,16000.0,Intermediate,English,Cloud Computing,Coursera
autism-spectrum-disorder,Autism Spectrum Disorder,4.6,56000.0,,,,Coursera
data-science-methodology,Data Science Methodology,4.3,89000.0,,,,Coursera
wharton-accounting,Introduction to Financial Accounting,4.8,200000.0,,,,Coursera
marketing-digital,Marketing in a Digital World,4.7,310000.0,,,,Coursera
