Id,course_title,is_paid,price,num_subscribers,level,content_duration,rating,language,category,anio_publicacion,ingreso_por_curso,plataforma,add_certificate,price_Certificate
1,Ultimate Investment Banking Course,Si,200,2147.0,All,1.5,3.6,English,Finance & Accounting,2017.0,429400.0,Udemy,,
2,Complete GST Course & Certification - Grow Your CA Practice,Si,75,2792.0,All,39.0,4.4,English,Finance & Accounting,2017.0,209400.0,Udemy,,
3,Financial Modeling for Business Analysts and Consultants,Si,45,2174.0,Intermediate,2.5,4.4,English,Finance & Accounting,2016.0,97830.0,Udemy,,
4,Beginner to Pro - Financial Analysis in Excel 2017,Si,95,2451.0,All,3.0,4.2,English,Finance & Accounting,2017.0,232845.0,Udemy,,
5,How To Maximize Your Profits Trading Options,Si,200,1276.0,Intermediate,2.0,4.7,English,Finance & Accounting,2016.0,255200.0,Udemy,,
6,Investing And Trading For Beginners: Mastering Price Charts,Si,65,1540.0,Beginner,1.0,4.6,English,Finance & Accounting,2016.0,100100.0,Udemy,,
7,"Trading Stock Chart Patterns For Immediate, Explosive Gains",Si,95,2917.0,All,2.5,4.2,English,Finance & Accounting,2015.0,277115.0,Udemy,,
8,The Only Investment Strategy You Need For Your Retirement,Si,200,827.0,All,1.0,3.9,English,Finance & Accounting,2017.0,165400.0,Udemy,,
9,Forex Trading Secrets of the Pros With Amazon's AWS,Si,200,4284.0,All,5.0,3.8,English,Finance & Accounting,2015.0,856800.0,Udemy,,
10,Trading Options With Money Flow,Si,200,1380.0,All,1.0,4.3,English,Finance & Accounting,2016.0,276000.0,Udemy,,
11,Financial Management Risk and Return For Securities,Si,30,3607.0,All,1.5,3.4,English,Finance & Accounting,2016.0,108210.0,Udemy,,
12,Forex Trading Course: Work Smarter Not Harder Proven Results,Si,195,4061.0,All,2.0,4.3,English,Finance & Accounting,2016.0,791895.0,Udemy,,
13,Short Selling: Learn To Sell Stocks Before The Fall,Si,75,2276.0,Intermediate,1.5,3.4,English,Finance & Accounting,2015.0,170700.0,Udemy,,
14,The Complete Chart Pattern Trading Course: A Proven Approach,Si,200,2666.0,All,4.0,3.8,English,Finance & Accounting,2015.0,533200.0,Udemy,,
15,Forex Traders - Create Your First Trading Robot. No Coding!,Si,200,2295.0,All,4.0,4.2,English,Finance & Accounting,2016.0,459000.0,Udemy,,
16,Introduction to Accounting : Mastering Financial Statements,Si,50,1916.0,Beginner,1.0,4.4,English,Finance & Accounting,2016.0,95800.0,Udemy,,
17,Beginner to Pro in PowerPoint: Complete PowerPoint Training,Si,150,5786.0,All,5.0,4.5,English,Office Productivity,2015.0,867900.0,Udemy,,
18,Investing 101: The Complete Online Investing Course,Si,200,5334.0,All,4.5,3.8,English,Finance & Accounting,2014.0,1066800.0,Udemy,,
19,Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,Si,175,4005.0,Intermediate,2.0,4.2,English,Finance & Accounting,2015.0,700875.0,Udemy,,
20,Forex Trading: Your Complete Guide to Get Started Like a Pro,Si,140,1026.0,Beginner,3.0,4.6,English,Finance & Accounting,2017.0,143640.0,Udemy,,
21,THE Forex Robot: Incredible ROI (Robot Included),Si,200,1843.0,All,1.5,3.4,English,Finance & Accounting,2016.0,368600.0,Udemy,,
22,The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,Si,45,8797.0,All,6.5,4.5,English,Finance & Accounting,2015.0,395865.0,Udemy,,
23,Mastering High Probability Iron Condor Options Trading,Si,200,1030.0,All,2.0,4.2,English,Finance & Accounting,2017.0,206000.0,Udemy,,
24,The Complete Short Course on Ethereum,Si,200,1041.0,All,1.5,4.4,English,Finance & Accounting,2017.0,208200.0,Udemy,,
25,Options Trading Stocks: Proven Toolbox For Financial Success,Si,195,7884.0,Intermediate,10.0,4.2,English,Finance & Accounting,2015.0,1537380.0,Udemy,,
26,Forex Trading A-Z™ - With LIVE Examples of Forex Trading,Si,195,16900.0,Beginner,5.5,4.5,English,Finance & Accounting,2014.0,3295500.0,Udemy,,
27,"Introduction to Finance, Accounting, Modeling and Valuation",Si,200,11441.0,All,4.5,4.5,English,Finance & Accounting,2016.0,2288200.0,Udemy,,
28,Beginner to Pro in Excel: Financial Modeling and Valuation,Si,195,22257.0,All,7.5,4.6,English,Finance & Accounting,2014.0,4340115.0,Udemy,,
29,The Complete Investment Banking Course 2017,Si,195,8575.0,All,5.5,4.6,English,Finance & Accounting,2016.0,1672125.0,Udemy,,
30,The Complete Financial Analyst Course 2017,Si,195,24481.0,All,10.0,4.6,English,Finance & Accounting,2016.0,4773795.0,Udemy,,
31,Python for Finance: Investment Fundamentals & Data Analytics,Si,195,3811.0,All,6.5,4.6,English,Finance & Accounting,2017.0,743145.0,Udemy,,
32,Financial Modeling for Startups & Small Businesses,Si,195,4991.0,Beginner,11.5,4.4,English,Finance & Accounting,2017.0,973245.0,Udemy,,
33,Options Trading - How to Win with Weekly Options,Si,115,7489.0,Intermediate,1.0,4.1,English,Finance & Accounting,2015.0,861235.0,Udemy,,
34,Accounting & Financial Statement Analysis: Complete Training,Si,150,10042.0,All,3.0,4.6,English,Finance & Accounting,2015.0,1506300.0,Udemy,,
35,Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,Si,200,10603.0,All,5.5,4.7,English,Finance & Accounting,2014.0,2120600.0,Udemy,,
36,Three Steps Trading - Live Trading - Real Account,Si,190,1197.0,All,5.0,4.8,English,Finance & Accounting,2017.0,227430.0,Udemy,,
37,Option Trading for Rookies:  Understand Options Completely,Si,150,2893.0,All,2.0,4.7,English,Finance & Accounting,2016.0,433950.0,Udemy,,
38,How I Learned Stock Trading (and How You Can Too),Si,200,1580.0,Expert,2.0,3.9,English,Finance & Accounting,2017.0,316000.0,Udemy,,
39,Learn to Trade for Profit: Find and Trade Winning Stocks,Si,95,10605.0,All,3.0,4.8,English,Finance & Accounting,2014.0,1007475.0,Udemy,,
40,Trading Inside Bars - Master 1 Easy Pattern To Be Successful,Si,125,2996.0,Intermediate,2.0,4.3,English,Finance & Accounting,2015.0,374500.0,Udemy,,
41,Four Fundamentals of Financial Planning,Si,30,6219.0,All,1.0,3.8,English,Finance & Accounting,2017.0,186570.0,Udemy,,
42,Options Trading - Calendar Spread Course for Every Trader,Si,200,1113.0,All,1.5,4.0,English,Finance & Accounting,2017.0,222600.0,Udemy,,
43,Learn Accounting. Understand Business.,Si,200,5572.0,Beginner,5.5,4.2,English,Finance & Accounting,2014.0,1114400.0,Udemy,,
44,How to Consistently Win Trading Stocks in 30 Days or Less,Si,145,1433.0,Intermediate,1.0,4.5,English,Finance & Accounting,2016.0,207785.0,Udemy,,
